Plant_Species;Category;Collected;Metabarcoding;Focal_Observation;Faeces_Examination
Acalypha indica;Introduced;1;0;0;0
Amaranthus tortuosus;Introduced;1;1;1;0
Ananas comosus;Introduced;1;0;0;1
Annona reticulata;Introduced;1;0;0;0
Artocarpus altilis;Introduced;1;1;1;1
Asystasia gangetica;Introduced;1;0;1;0
Averrhoa bilimbi;Introduced;1;0;0;0
Barringtonia asiatica;Native;1;0;0;0
Calophyllum inophyllum;Native;1;0;0;0
Carica papaya;Introduced;1;0;0;0
Casuarina equisetifolia;Introduced;1;1;0;0
Catharanthus roseus;Introduced;1;0;0;0
Coleus amboinicus;Native;1;0;0;0
Commelina benghalensis;Native;1;1;1;0
Cordia subcordata;Native;1;1;0;1
Cyanthillium cinereum;Introduced;1;0;0;0
Cynanchum viminale;Native;1;0;0;0
Cyperus aromaticus;Native;1;0;1;0
Datura metel;Introduced;1;0;0;0
Digitaria horizontalis;Introduced;1;0;1;0
Euphorbia pyrifolia;Native;1;0;1;0
Ficus benghalensis;Introduced;1;0;0;1
Ficus lutea;Native;1;0;0;0
Ficus reflexa;Native;1;1;1;1
Heliotropium arboreum;Native;1;0;0;0
Hernandia nymphaeifolia;Native;1;0;0;0
Hibiscus tiliaceus;Native;1;0;0;0
Ipomoea aquatica;Introduced;1;0;0;0
Ipomoea pes-caprae;Native;1;0;0;0
Ludwigia nervosa;Introduced;1;0;0;0
Manihot esculenta;Introduced;1;0;0;0
Megathyrsus maximus;Native;1;0;1;1
Morinda citrifolia;Native;1;1;1;1
Musa x paradisiaca;Introduced;1;1;1;0
Nephrolepis biserrata;Native;1;0;0;0
Ochrosia oppositifolia;Native;1;1;1;0
Pandanus balfourii;Native;1;0;0;0
Panicum bisulcatum;Introduced;1;1;1;0
Peponium vogelii;Native;1;0;0;0
Phyllanthus amarus;Introduced;1;1;0;1
Pisonia grandis;Native;1;1;1;1
Psidium guajava;Introduced;1;0;1;0
Rothmannia annae;Native;1;0;0;0
Scaevola taccada;Native;1;0;0;0
Senna occidentalis;Introduced;1;0;0;0
Sida cordifolia;Introduced;1;1;0;0
Solanum americanum;Introduced;1;0;0;0
Syzygium cumini;Introduced;1;0;0;1
Syzygium samarangense;Introduced;1;1;0;0
Terminalia catappa;Introduced;1;1;1;1
Thespesia populnea;Native;1;0;0;0