"Tortoise_ID","Plant_ID","Reads","Samples","Level_ID","Total_Reads","RRA","Effort","RRA_ST","Reads_ST"
"T01","Ficus_reflexa",492,2,"Genus",2926.5,0.08406,28.45,0.00295465729349736,9
"T01","Morinda_citrifolia",753,2,"Species",2926.5,0.12865,28.45,0.0045219683655536,13
"T01","Pericallis",33,2,"Species",2926.5,0.00564,28.45,0.000198242530755712,1
"T01","Pisonia_grandis",77,2,"Species",2926.5,0.01316,28.45,0.000462565905096661,1
"T01","Syzygium",229,2,"Genus",2926.5,0.03913,28.45,0.00137539543057996,4
"T01","Terminalia_catappa",169,2,"Species",2926.5,0.02887,28.45,0.00101476274165202,3
"T02","Artocarpus_altilis",2011.66666666667,3,"Species",19913.8333333333,0.03367,32.08,0.00104956359102244,21
"T02","Commelina_benghalensis",142,3,"Species",19913.8333333333,0.00238,32.08,7.41895261845387e-05,1
"T02","Cordia_subcordata",82,3,"Species",19913.8333333333,0.00137,32.08,4.27057356608479e-05,1
"T02","Cyperus_rotundus",77,3,"Species",19913.8333333333,0.00129,32.08,4.0211970074813e-05,1
"T02","Ficus_reflexa",2912.83333333333,3,"Genus",19913.8333333333,0.04876,32.08,0.00151995012468828,30
"T02","Ficus_reflexa",2912.83333333333,3,"Species",19913.8333333333,0.04876,32.08,0.00151995012468828,30
"T02","Glinus_oppositifolius",321.5,3,"Species",19913.8333333333,0.00538,32.08,0.000167705735660848,3
"T02","Gossypium",811.875,3,"Genus",19913.8333333333,0.01359,32.08,0.000423628428927681,8
"T02","Gossypium",811.875,3,"Species",19913.8333333333,0.01359,32.08,0.000423628428927681,8
"T02","Lolium",85,3,"Genus",19913.8333333333,0.00142,32.08,4.42643391521197e-05,1
"T02","Morinda_citrifolia",2285.66666666667,3,"Species",19913.8333333333,0.03826,32.08,0.0011926433915212,24
"T02","Ochrosia_oppositifolia",2109.5,3,"Species",19913.8333333333,0.03531,32.08,0.00110068578553616,22
"T02","Pisonia_grandis",548.333333333333,3,"Species",19913.8333333333,0.00918,32.08,0.000286159600997506,6
"T02","Sida_cordifolia",542.5,3,"Species",19913.8333333333,0.00908,32.08,0.000283042394014963,6
"T02","Solanum_pimpinellifolium",113,3,"Species",19913.8333333333,0.00189,32.08,5.89152119700748e-05,1
"T02","Sonchus_asper",97,3,"Species",19913.8333333333,0.00162,32.08,5.0498753117207e-05,1
"T02","Syzygium",30,3,"Genus",19913.8333333333,5e-04,32.08,1.55860349127182e-05,0
"T02","Terminalia_catappa",155.333333333333,3,"Species",19913.8333333333,0.0026,32.08,8.10473815461347e-05,2
"T03","Amaranthus",29,3,"Genus",58814.2611111111,0.00016,5.63,2.84191829484902e-05,2
"T03","Boerhavia",95.5,3,"Genus",58814.2611111111,0.00054,5.63,9.59147424511545e-05,6
"T03","Boerhavia",95.5,3,"Species",58814.2611111111,0.00054,5.63,9.59147424511545e-05,6
"T03","Cocculus",81,3,"Species",58814.2611111111,0.00046,5.63,8.17051509769094e-05,5
"T03","Euphorbia",779.333333333333,3,"Genus",58814.2611111111,0.00442,5.63,0.000785079928952043,46
"T03","Euphorbia",779.333333333333,3,"Species",58814.2611111111,0.00442,5.63,0.000785079928952043,46
"T03","Euphorbia_thymifolia",32,3,"Species",58814.2611111111,0.00018,5.63,3.19715808170515e-05,2
"T03","Ficus_reflexa",19559.3333333333,3,"Genus",58814.2611111111,0.11085,5.63,0.0196891651865009,1158
"T03","Ficus_reflexa",19559.3333333333,3,"Species",58814.2611111111,0.11085,5.63,0.0196891651865009,1158
"T03","Lolium",164,3,"Genus",58814.2611111111,0.00093,5.63,0.000165186500888099,10
"T03","Macrothamnium_macrocarpum",165,3,"Species",58814.2611111111,0.00094,5.63,0.00016696269982238,10
"T03","Nepeta",37,3,"Genus",58814.2611111111,0.00021,5.63,3.73001776198934e-05,2
"T03","Pisonia_grandis",3318.38888888889,3,"Species",58814.2611111111,0.01881,5.63,0.00334103019538188,196
"T05","Arenaria",390,3,"Species",251458.161111111,0.00052,30.42,1.70940170940171e-05,4
"T05","Arrhenatherum",189,3,"Genus",251458.161111111,0.00025,30.42,8.21827744904668e-06,2
"T05","Boerhavia",99.5,3,"Genus",251458.161111111,0.00013,30.42,4.27350427350427e-06,1
"T05","Boerhavia",99.5,3,"Species",251458.161111111,0.00013,30.42,4.27350427350427e-06,1
"T05","Euphorbia",48,3,"Species",251458.161111111,6e-05,30.42,1.9723865877712e-06,1
"T05","Ficus_reflexa",121068.733333333,3,"Genus",251458.161111111,0.16049,30.42,0.00527580539119001,1327
"T05","Ficus_reflexa",121068.733333333,3,"Species",251458.161111111,0.16049,30.42,0.00527580539119001,1327
"T05","Lolium",95,3,"Genus",251458.161111111,0.00013,30.42,4.27350427350427e-06,1
"T05","Musa",49,3,"Species",251458.161111111,6e-05,30.42,1.9723865877712e-06,1
"T05","Pisonia_grandis",3245.58333333333,3,"Species",251458.161111111,0.0043,30.42,0.000141354372123603,36
"T05","Platanus",150,3,"Species",251458.161111111,2e-04,30.42,6.57462195923734e-06,2
"T05","Rubia",404,3,"Genus",251458.161111111,0.00054,30.42,1.77514792899408e-05,4
"T05","Terminalia_catappa",38,3,"Species",251458.161111111,5e-05,30.42,1.64365548980934e-06,0
"T06","Asystasia",171.083333333333,3,"Species",273053.822222222,0.00021,11.27,1.86335403726708e-05,5
"T06","Brachiaria_ramosa",9535.33333333333,3,"Species",273053.822222222,0.01164,11.27,0.00103283052351375,282
"T06","Cyperus",380.166666666667,3,"Genus",273053.822222222,0.00046,11.27,4.08163265306122e-05,11
"T06","Cyperus_polystachyos",157,3,"Species",273053.822222222,0.00019,11.27,1.68589174800355e-05,5
"T06","Digitaria_ciliaris",111.166666666667,3,"Species",273053.822222222,0.00014,11.27,1.24223602484472e-05,3
"T06","Euphorbia",2825.91666666667,3,"Genus",273053.822222222,0.00345,11.27,0.000306122448979592,84
"T06","Euphorbia",2825.91666666667,3,"Species",273053.822222222,0.00345,11.27,0.000306122448979592,84
"T06","Ficus_reflexa",119308.966666667,3,"Genus",273053.822222222,0.14565,11.27,0.0129236912156167,3529
"T06","Ficus_reflexa",119308.966666667,3,"Species",273053.822222222,0.14565,11.27,0.0129236912156167,3529
"T06","Macrothamnium_macrocarpum",58.5,3,"Species",273053.822222222,7e-05,11.27,6.2111801242236e-06,2
"T06","Morinda_citrifolia",198,3,"Species",273053.822222222,0.00024,11.27,2.12954747116238e-05,6
"T06","Panicum_bisulcatum",538.75,3,"Species",273053.822222222,0.00066,11.27,5.85625554569654e-05,16
"T06","Pisonia_grandis",3744.83333333333,3,"Genus",273053.822222222,0.00457,11.27,0.00040550133096717,111
"T06","Pisonia_grandis",3744.83333333333,3,"Species",273053.822222222,0.00457,11.27,0.00040550133096717,111
"T06","Solanum_pimpinellifolium",287.5,3,"Species",273053.822222222,0.00035,11.27,3.1055900621118e-05,9
"T07","Asystasia",28,3,"Species",285330.169444444,3e-05,13.08,2.29357798165138e-06,1
"T07","Brachiaria_ramosa",1637.16666666667,3,"Species",285330.169444444,0.00191,13.08,0.000146024464831804,42
"T07","Casuarina_equisetifolia",81,3,"Species",285330.169444444,9e-05,13.08,6.88073394495413e-06,2
"T07","Cyperus",78.5,3,"Genus",285330.169444444,9e-05,13.08,6.88073394495413e-06,2
"T07","Digitaria_setigera",46,3,"Species",285330.169444444,5e-05,13.08,3.82262996941896e-06,1
"T07","Euphorbia",243.041666666667,3,"Genus",285330.169444444,0.00028,13.08,2.14067278287462e-05,6
"T07","Euphorbia",243.041666666667,3,"Species",285330.169444444,0.00028,13.08,2.14067278287462e-05,6
"T07","Ficus_reflexa",133594.883333333,3,"Genus",285330.169444444,0.15607,13.08,0.0119319571865443,3405
"T07","Ficus_reflexa",133594.883333333,3,"Species",285330.169444444,0.15607,13.08,0.0119319571865443,3405
"T07","Lavandula",29,3,"Species",285330.169444444,3e-05,13.08,2.29357798165138e-06,1
"T07","Musa",38,3,"Species",285330.169444444,4e-05,13.08,3.05810397553517e-06,1
"T07","Nepeta",52,3,"Genus",285330.169444444,6e-05,13.08,4.58715596330275e-06,1
"T07","Panicum_bisulcatum",224.75,3,"Species",285330.169444444,0.00026,13.08,1.98776758409786e-05,6
"T07","Pavonia",75,3,"Species",285330.169444444,9e-05,13.08,6.88073394495413e-06,2
"T07","Pisonia_grandis",4289.1875,3,"Species",285330.169444444,0.00501,13.08,0.00038302752293578,109
"T07","Pisonia_grandis",4289.1875,3,"Genus",285330.169444444,0.00501,13.08,0.00038302752293578,109
"T07","Rubia",122,3,"Genus",285330.169444444,0.00014,13.08,1.07033639143731e-05,3
"T07","Salix",204,3,"Genus",285330.169444444,0.00024,13.08,1.8348623853211e-05,5
"T07","Solanum_pimpinellifolium",113,3,"Species",285330.169444444,0.00013,13.08,9.9388379204893e-06,3
"T08","Acalypha_lanceolata",72,3,"Species",73945.0222222222,0.00032,35.13,9.10902362653003e-06,1
"T08","Amaranthus",247,3,"Genus",73945.0222222222,0.00111,35.13,3.1596925704526e-05,2
"T08","Artocarpus_altilis",6629.05555555556,3,"Species",73945.0222222222,0.02988,35.13,0.000850555081127242,63
"T08","Bituminaria_bituminosa",214,3,"Species",73945.0222222222,0.00096,35.13,2.73270708795901e-05,2
"T08","Commelina_benghalensis",217.5,3,"Species",73945.0222222222,0.00098,35.13,2.78963848562482e-05,2
"T08","Cordia_subcordata",30,3,"Species",73945.0222222222,0.00014,35.13,3.98519783660689e-06,0
"T08","Cyperus",55.25,3,"Genus",73945.0222222222,0.00025,35.13,7.11642470822659e-06,1
"T08","Cyperus_rotundus",112.75,3,"Species",73945.0222222222,0.00051,35.13,1.45175064047822e-05,1
"T08","Euphorbia",48,3,"Species",73945.0222222222,0.00022,35.13,6.2624537432394e-06,0
"T08","Euphorbia_thymifolia",2553,3,"Species",73945.0222222222,0.01151,35.13,0.000327640193566752,24
"T08","Ficus_reflexa",3448.66666666667,3,"Genus",73945.0222222222,0.01555,35.13,0.000442641616851694,33
"T08","Lolium",73,3,"Genus",73945.0222222222,0.00033,35.13,9.39368061485909e-06,1
"T08","Morinda_citrifolia",4272.66666666667,3,"Species",73945.0222222222,0.01926,35.13,0.000548249359521776,41
"T08","Musa",21231.2777777778,3,"Genus",73945.0222222222,0.09571,35.13,0.00272445203529747,201
"T08","Musa",21231.2777777778,3,"Species",73945.0222222222,0.09571,35.13,0.00272445203529747,201
"T08","Ochrosia_oppositifolia",632.916666666667,3,"Species",73945.0222222222,0.00285,35.13,8.11272416737831e-05,6
"T08","Phyllanthus",357.25,3,"Genus",73945.0222222222,0.00161,35.13,4.58297751209792e-05,3
"T08","Phyllanthus_amarus",354,3,"Species",73945.0222222222,0.0016,35.13,4.55451181326502e-05,3
"T08","Pisonia_grandis",342.333333333333,3,"Species",73945.0222222222,0.00154,35.13,4.38371762026758e-05,3
"T08","Portulaca_oleracea",75,3,"Species",73945.0222222222,0.00034,35.13,9.67833760318816e-06,1
"T08","Psidium",973.611111111111,3,"Species",73945.0222222222,0.00439,35.13,0.000124964417876459,9
"T08","Rubia",86,3,"Genus",73945.0222222222,0.00039,35.13,1.11016225448335e-05,1
"T08","Sida_cordifolia",243.333333333333,3,"Species",73945.0222222222,0.0011,35.13,3.1312268716197e-05,2
"T08","Solanum_pimpinellifolium",31,3,"Species",73945.0222222222,0.00014,35.13,3.98519783660689e-06,0
"T08","Terminalia_catappa",626,3,"Species",73945.0222222222,0.00282,35.13,8.02732707087959e-05,6
"T10","Amaranthus",76,2,"Genus",280013.486111111,0.00014,19.5,7.17948717948718e-06,2
"T10","Boerhavia",295,2,"Genus",280013.486111111,0.00053,19.5,2.71794871794872e-05,8
"T10","Euphorbia",118,2,"Species",280013.486111111,0.00021,19.5,1.07692307692308e-05,3
"T10","Ficus_reflexa",137839.222222222,2,"Genus",280013.486111111,0.24613,19.5,0.0126220512820513,3534
"T10","Ficus_reflexa",137839.222222222,2,"Species",280013.486111111,0.24613,19.5,0.0126220512820513,3534
"T10","Ipomoea_pes_caprae",98,2,"Species",280013.486111111,0.00017,19.5,8.71794871794872e-06,3
"T10","Pisonia_grandis",673.166666666667,2,"Genus",280013.486111111,0.0012,19.5,6.15384615384615e-05,17
"T10","Pisonia_grandis",673.166666666667,2,"Species",280013.486111111,0.0012,19.5,6.15384615384615e-05,17
"T10","Platanus",92,2,"Genus",280013.486111111,0.00016,19.5,8.20512820512821e-06,2
"T10","Salvia",168,2,"Genus",280013.486111111,3e-04,19.5,1.53846153846154e-05,4
"T10","Scaevola_taccada",1018,2,"Species",280013.486111111,0.00182,19.5,9.33333333333333e-05,26
"T10","Taraxacum",360,2,"Species",280013.486111111,0.00064,19.5,3.28205128205128e-05,9
"T11","Ficus_reflexa",26,1,"Genus",26,1,28.48,0.0351123595505618,1
"T12","Asystasia",354.666666666667,3,"Species",121330.138888889,0.00097,11.78,8.23429541595925e-05,10
"T12","Casuarina_equisetifolia",590,3,"Species",121330.138888889,0.00162,11.78,0.000137521222410866,17
"T12","Digitaria_ciliaris",31,3,"Species",121330.138888889,9e-05,11.78,7.64006791171477e-06,1
"T12","Digitaria_setigera",107,3,"Species",121330.138888889,0.00029,11.78,2.46179966044143e-05,3
"T12","Euphorbia",1851.66666666667,3,"Genus",121330.138888889,0.00509,11.78,0.000432088285229202,52
"T12","Euphorbia",1851.66666666667,3,"Species",121330.138888889,0.00509,11.78,0.000432088285229202,52
"T12","Ficus_reflexa",48457.5666666667,3,"Genus",121330.138888889,0.13313,11.78,0.0113013582342954,1371
"T12","Ficus_reflexa",48457.5666666667,3,"Species",121330.138888889,0.13313,11.78,0.0113013582342954,1371
"T12","Lolium",1749,3,"Genus",121330.138888889,0.00481,11.78,0.000408319185059423,49
"T12","Magnolia",81.5,3,"Genus",121330.138888889,0.00022,11.78,1.86757215619694e-05,2
"T12","Mastixia",109,3,"Species",121330.138888889,3e-04,11.78,2.54668930390492e-05,3
"T12","Medicago",52,3,"Genus",121330.138888889,0.00014,11.78,1.18845500848896e-05,1
"T12","Medicago_sativa",56,3,"Species",121330.138888889,0.00015,11.78,1.27334465195246e-05,2
"T12","Panicum_bisulcatum",863,3,"Species",121330.138888889,0.00237,11.78,0.000201188455008489,24
"T12","Parietaria",46,3,"Genus",121330.138888889,0.00013,11.78,1.10356536502547e-05,1
"T12","Pisonia_grandis",7509.19444444444,3,"Species",121330.138888889,0.02063,11.78,0.00175127334465195,212
"T12","Solanum_pimpinellifolium",65.5,3,"Species",121330.138888889,0.00018,11.78,1.52801358234295e-05,2
"T12","Taraxacum",37,3,"Genus",121330.138888889,1e-04,11.78,8.48896434634975e-06,1
"T12","Urtica",247,3,"Species",121330.138888889,0.00068,11.78,5.77249575551783e-05,7
